annotator_id	competence
179	0.83
119	0.75
331	0.73
281	0.9
270	0.55
145	0.85
211	0.84
351	0.58
243	0.74
237	0.79
132	0.85
349	0.85
217	0.89
257	0.75
298	0.82
180	0.81
140	0.56
152	0.76
347	0.77
136	0.83
219	0.58
147	0.75
380	0.72
312	0.83
206	0.79
215	0.83
299	0.67
149	0.85
137	0.84
131	0.81
189	0.83
378	0.81
190	0.79
174	0.73
311	0.83
346	0.77
238	0.79
283	0.75
130	0.9
376	0.81
319	0.85
287	0.79
315	0.75
209	0.52
167	0.82
118	0.87
122	0.87
192	0.59
300	0.81
171	0.75
205	0.85
289	0.86
284	0.65
272	0.71
353	0.84
354	0.81
275	0.88
104	0.82
256	0.58
328	0.75
364	0.63
204	0.73
184	0.84
114	0.68
161	0.71
188	0.76
153	0.71
107	0.79
113	0.88
210	0.74
344	0.75
251	0.75
356	0.79
249	0.83
164	0.82
316	0.82
369	0.65
333	0.68
317	0.84
247	0.65
343	0.52
141	0.71
182	0.86
135	0.83
143	0.81
168	0.77
121	0.77
269	0.79
286	0.85
234	0.89
133	0.87
379	0.76
172	0.82
263	0.79
112	0.62
366	0.85
197	0.75
262	0.79
208	0.81
123	0.87
212	0.75
335	0.86
250	0.86
375	0.79
202	0.86
111	0.81
329	0.78
116	0.77
350	0.78
361	0.73
265	0.76
120	0.87
326	0.81
216	0.82
223	0.72
360	0.84
327	0.84
144	0.84
200	0.75
307	0.73
127	0.81
305	0.87
165	0.78
301	0.78
358	0.82
105	0.78
150	0.91
332	0.87
233	0.72
282	0.91
274	0.69
126	0.59
381	0.82
